FECHA;PROVINCIA;PROFESIONALES_TOTAL;PORCENTAJE_TEST_REALIZADOS;PORCENTAJE_TEST_POSITIVO;codigo_ine
2025-06-05;Palencia;3261;95.86016559;61.3308801;34120
2025-06-05;Segovia;2801;94.64476973;54.90896109;40004
2025-06-05;Valladolid;11517;95.14630546;58.47877051;47186
2025-06-05;Castilla y León;49709;94.66897343;56.20511376;99999
2025-06-05;Burgos;7034;96.68751777;53.82428206;9059
2025-06-05;León;9154;96.23115578;58.94690846;24089
2025-06-05;Salamanca;7348;90.2150245;53.72890582;37274
2025-06-05;Soria;2208;94.24818841;54.48369565;42173
2025-06-05;Ávila;3020;92.01986755;54.60264901;5019
2025-06-05;Zamora;3366;95.81105169;50.02970885;49275
2025-05-22;Ávila;3020;91.9205298;54.56953642;5019
2025-05-22;Burgos;7034;96.65908445;53.8100654;9059
2025-05-22;León;9154;96.15468648;58.90321171;24089
2025-05-22;Salamanca;7348;90.16058792;53.70168753;37274
2025-05-22;Segovia;2801;94.64476973;54.90896109;40004
2025-05-22;Soria;2208;94.1576087;54.4384058;42173
2025-05-22;Zamora;3366;95.75163399;50.0;49275
2025-05-22;Palencia;3261;95.86016559;61.30021466;34120
2025-05-22;Valladolid;11517;95.08552574;58.4700877;47186
2025-05-22;Castilla y León;49709;94.61465731;56.18097326;99999
2025-05-08;Palencia;3261;95.76816927;61.30021466;34120
2025-05-08;León;9154;96.12191392;58.89228752;24089
2025-05-08;Salamanca;7348;90.09254219;53.68807839;37274
2025-05-08;Segovia;2801;94.57336665;54.90896109;40004
2025-05-08;Zamora;3366;95.69221628;49.97029115;49275
2025-05-08;Castilla y León;49709;94.55028264;56.1648796;99999
2025-05-08;Ávila;3020;91.85430464;54.53642384;5019
2025-05-08;Burgos;7034;96.64486779;53.78163207;9059
2025-05-08;Soria;2208;93.93115942;54.39311594;42173
2025-05-08;Valladolid;11517;95.00738039;58.46140488;47186
2025-04-24;Burgos;7034;96.64486779;53.78163207;9059
2025-04-24;Salamanca;7348;90.0653239;53.67446924;37274
2025-04-24;Valladolid;11517;94.97264913;58.44403925;47186
2025-04-24;Zamora;3366;95.69221628;49.97029115;49275
2025-04-24;Castilla y León;49709;94.52614215;56.15683277;99999
2025-04-24;Ávila;3020;91.78807947;54.53642384;5019
